,open,high,low,close,volume
2023-06-30 19:59:00,160.4500,160.4500,160.4500,160.4500,2
2023-06-30 19:57:00,160.3100,160.3100,160.3100,160.3100,35
2023-06-30 19:47:00,159.0000,159.0000,159.0000,159.0000,1
2023-06-30 19:22:00,158.7500,158.7500,158.7500,158.7500,6
2023-06-30 19:00:00,160.5500,160.5500,160.5500,160.5500,76773
2023-06-30 18:47:00,160.5500,160.5500,160.5500,160.5500,15
2023-06-30 18:33:00,160.5000,160.5000,160.5000,160.5000,1
2023-06-30 18:30:00,160.5500,160.5500,160.5500,160.5500,76773
2023-06-30 18:21:00,161.9000,161.9000,161.9000,161.9000,50
2023-06-30 18:16:00,160.5500,160.5500,160.5500,160.5500,280
2023-06-30 17:56:00,160.3100,160.3100,160.3100,160.3100,100
2023-06-30 17:43:00,161.9000,161.9000,161.9000,161.9000,3
2023-06-30 17:37:00,159.5000,159.5000,159.5000,159.5000,3
2023-06-30 17:33:00,159.5000,159.5000,159.5000,159.5000,3
2023-06-30 17:26:00,160.7000,160.7000,160.7000,160.7000,10
2023-06-30 17:24:00,159.7390,159.7390,159.7390,159.7390,238
2023-06-30 17:20:00,158.7500,158.7500,158.7500,158.7500,1
2023-06-30 17:05:00,160.2100,160.2100,160.2100,160.2100,40
2023-06-30 17:02:00,160.2100,160.2100,160.2100,160.2100,10
2023-06-30 16:56:00,160.2100,160.2100,160.2100,160.2100,15
2023-06-30 16:48:00,160.5500,160.5500,158.7500,158.7500,3
2023-06-30 16:31:00,160.5500,160.5500,160.5500,160.5500,83
2023-06-30 16:30:00,160.0000,160.0000,160.0000,160.0000,1
2023-06-30 16:26:00,160.5500,161.1000,160.5500,161.1000,38
2023-06-30 16:20:00,160.3000,160.3000,160.0000,160.0000,5
2023-06-30 16:10:00,160.5500,160.5500,160.0000,160.5000,76813
2023-06-30 16:09:00,160.5500,160.5500,160.5500,160.5500,380
2023-06-30 16:08:00,160.5500,160.5500,160.5500,160.5500,87
2023-06-30 16:04:00,160.5500,162.0000,160.5500,162.0000,2403
2023-06-30 16:02:00,160.5500,160.5500,160.5500,160.5500,689
2023-06-30 16:00:00,160.5400,160.6400,160.5400,160.5500,159285
2023-06-30 15:59:00,160.5050,160.8400,160.4800,160.5500,35407
2023-06-30 15:58:00,160.5300,160.5600,160.4800,160.5050,10909
2023-06-30 15:57:00,160.6900,160.7000,160.4700,160.5300,19665
2023-06-30 15:56:00,160.7650,160.7650,160.6400,160.6750,10306
2023-06-30 15:55:00,161.0150,161.0150,160.7400,160.7400,9292
2023-06-30 15:54:00,160.8100,161.0200,160.7800,161.0200,9162
2023-06-30 15:53:00,160.7900,160.7900,160.7100,160.7800,7986
2023-06-30 15:52:00,161.0000,161.0100,160.7550,160.7550,11495
2023-06-30 15:51:00,161.0150,161.0700,161.0000,161.0200,9331
2023-06-30 15:50:00,161.1500,161.1500,160.9100,160.9950,10450
2023-06-30 15:49:00,161.1250,161.1700,161.0800,161.1250,7779
2023-06-30 15:48:00,160.9400,161.1400,160.9300,161.1400,29956
2023-06-30 15:47:00,160.8000,160.9700,160.7900,160.9700,9161
2023-06-30 15:46:00,160.8600,160.8600,160.8000,160.8300,5098
2023-06-30 15:45:00,160.9900,160.9900,160.8300,160.8300,5166
2023-06-30 15:44:00,161.0550,161.0700,160.9900,161.0200,5205
2023-06-30 15:43:00,160.9800,161.0550,160.9800,161.0550,2518
2023-06-30 15:42:00,161.0800,161.0900,160.9600,160.9600,5728
2023-06-30 15:41:00,161.0300,161.0700,161.0100,161.0700,2896
2023-06-30 15:40:00,161.1500,161.1500,161.0100,161.0500,4042
2023-06-30 15:39:00,161.1500,161.1700,161.1350,161.1700,1638
2023-06-30 15:38:00,161.2600,161.2600,161.1200,161.1250,4479
2023-06-30 15:37:00,161.1100,161.3100,161.1100,161.2500,1504
2023-06-30 15:36:00,161.1400,161.1900,161.0900,161.1100,2887
2023-06-30 15:35:00,161.0350,161.1400,161.0350,161.0900,4039
2023-06-30 15:34:00,161.1100,161.1400,161.0350,161.0350,5461
2023-06-30 15:33:00,161.0300,161.1400,161.0300,161.1140,2145
2023-06-30 15:32:00,160.8950,161.0000,160.8950,161.0000,6179
2023-06-30 15:31:00,160.8900,160.9550,160.8800,160.8900,4339
2023-06-30 15:30:00,160.9200,160.9350,160.8600,160.9350,1332
2023-06-30 15:29:00,160.7100,160.8010,160.7000,160.8010,2387
2023-06-30 15:28:00,160.6500,160.7400,160.6500,160.7400,1944
2023-06-30 15:27:00,160.6200,160.6600,160.6080,160.6400,3830
2023-06-30 15:26:00,160.6150,160.6150,160.6000,160.6150,1238
2023-06-30 15:25:00,160.5900,160.6700,160.5400,160.6000,13480
2023-06-30 15:24:00,160.4800,160.6100,160.4700,160.6100,5918
2023-06-30 15:23:00,160.5000,160.5140,160.4700,160.4700,2795
2023-06-30 15:22:00,160.5200,160.5200,160.4400,160.4700,1932
2023-06-30 15:21:00,160.5200,160.5500,160.4800,160.5000,4749
2023-06-30 15:20:00,160.5100,160.5500,160.5000,160.5100,3139
2023-06-30 15:19:00,160.4800,160.5000,160.4700,160.5000,530
2023-06-30 15:18:00,160.4900,160.5100,160.4800,160.4800,1989
2023-06-30 15:17:00,160.4900,160.5000,160.4900,160.4900,1677
2023-06-30 15:16:00,160.4700,160.5000,160.4700,160.4700,725
