,open,high,low,close,volume
2023-06-30 19:59:00,194.2600,194.3000,194.2000,194.3000,7644
2023-06-30 19:58:00,194.1800,194.2600,194.1800,194.2500,4756
2023-06-30 19:57:00,194.2300,194.2400,194.2000,194.2300,749
2023-06-30 19:56:00,194.2300,194.2500,194.2200,194.2300,1438
2023-06-30 19:55:00,194.2200,194.2500,194.2200,194.2300,5248
2023-06-30 19:54:00,194.1900,194.2300,194.1900,194.2200,1177
2023-06-30 19:53:00,194.2300,194.2300,194.1900,194.2000,1327
2023-06-30 19:52:00,194.2200,194.2400,194.1900,194.2000,1360
2023-06-30 19:51:00,194.2300,194.2500,194.1900,194.2150,3975
2023-06-30 19:50:00,194.0600,194.2300,194.0200,194.2000,14665
2023-06-30 19:49:00,194.0600,194.0800,194.0600,194.0600,530
2023-06-30 19:48:00,194.0900,194.0900,194.0600,194.0700,1199
2023-06-30 19:47:00,194.0800,194.0800,194.0750,194.0750,14
2023-06-30 19:46:00,194.0800,194.0800,194.0600,194.0700,266
2023-06-30 19:45:00,194.0700,194.0900,194.0500,194.0700,527
2023-06-30 19:44:00,194.0700,194.0900,194.0500,194.0700,943
2023-06-30 19:43:00,194.0950,194.1000,194.0600,194.1000,695
2023-06-30 19:42:00,194.1000,194.1000,194.0600,194.0600,1692
2023-06-30 19:41:00,194.0600,194.1000,194.0600,194.0600,727
2023-06-30 19:40:00,194.1000,194.1000,194.0650,194.0700,513
2023-06-30 19:39:00,194.1000,194.1000,194.0800,194.0800,551
2023-06-30 19:38:00,194.0900,194.1000,194.0800,194.1000,928
2023-06-30 19:37:00,194.0800,194.1000,194.0800,194.0900,432
2023-06-30 19:36:00,194.0800,194.1000,194.0600,194.1000,395
2023-06-30 19:35:00,194.0900,194.1000,194.0600,194.0600,2045
2023-06-30 19:34:00,194.0700,194.0900,194.0500,194.0900,491
2023-06-30 19:33:00,194.0050,194.0800,194.0000,194.0800,2698
2023-06-30 19:32:00,194.0050,194.0100,194.0000,194.0100,688
2023-06-30 19:31:00,194.0200,194.0200,194.0000,194.0100,366
2023-06-30 19:30:00,194.0300,194.0300,194.0000,194.0200,1540
2023-06-30 19:29:00,194.0200,194.0400,194.0000,194.0100,208
2023-06-30 19:28:00,194.0200,194.0400,194.0000,194.0300,52
2023-06-30 19:27:00,194.0100,194.0400,194.0000,194.0100,798
2023-06-30 19:26:00,194.0000,194.0400,194.0000,194.0100,2769
2023-06-30 19:25:00,194.0400,194.0400,194.0000,194.0100,927
2023-06-30 19:24:00,194.0200,194.0400,194.0100,194.0250,148
2023-06-30 19:23:00,194.0200,194.0500,194.0100,194.0250,547
2023-06-30 19:22:00,194.0250,194.0500,194.0100,194.0500,545
2023-06-30 19:21:00,194.0400,194.0400,194.0000,194.0400,1084
2023-06-30 19:20:00,194.0200,194.0400,194.0000,194.0400,4576
2023-06-30 19:19:00,194.0500,194.1300,194.0100,194.0400,1796
2023-06-30 19:18:00,194.0000,194.0500,194.0000,194.0000,1285
2023-06-30 19:17:00,194.0500,194.0700,194.0000,194.0350,171
2023-06-30 19:16:00,193.9700,194.0700,193.9700,194.0700,10675
2023-06-30 19:15:00,193.9600,193.9700,193.9500,193.9600,2084
2023-06-30 19:14:00,193.9700,193.9700,193.9600,193.9700,245
2023-06-30 19:13:00,193.9650,193.9800,193.9500,193.9700,1201
2023-06-30 19:12:00,193.8900,193.9700,193.8900,193.9650,2246
2023-06-30 19:11:00,193.9100,193.9100,193.8700,193.9100,123
2023-06-30 19:10:00,193.9000,193.9100,193.8500,193.9100,9041
2023-06-30 19:09:00,193.8750,193.8800,193.8500,193.8700,54
2023-06-30 19:08:00,193.8600,193.9000,193.8500,193.8750,547
2023-06-30 19:07:00,193.8700,193.8700,193.8500,193.8500,23
2023-06-30 19:06:00,193.8700,193.8700,193.8500,193.8700,180
2023-06-30 19:05:00,193.8600,193.8600,193.8500,193.8600,91
2023-06-30 19:04:00,193.8500,193.8700,193.8500,193.8600,251
2023-06-30 19:03:00,193.8400,193.8700,193.8400,193.8600,114
2023-06-30 19:02:00,193.8500,193.8500,193.8400,193.8450,1035
2023-06-30 19:01:00,193.8400,193.8500,193.8300,193.8450,179
2023-06-30 19:00:00,193.8500,193.8500,193.8300,193.8400,527
2023-06-30 18:59:00,193.8500,193.8500,193.8300,193.8300,247
2023-06-30 18:58:00,193.8700,193.8700,193.8400,193.8500,4328
2023-06-30 18:57:00,193.8400,193.9000,193.8400,193.8550,434
2023-06-30 18:56:00,193.8900,193.9000,193.8400,193.8700,141
2023-06-30 18:55:00,193.9000,193.9000,193.8500,193.8900,8061
2023-06-30 18:54:00,193.8700,193.8900,193.8600,193.8800,474
2023-06-30 18:53:00,193.8700,193.8800,193.8600,193.8700,923
2023-06-30 18:52:00,193.8700,193.8700,193.8500,193.8700,916
2023-06-30 18:51:00,193.8500,193.8700,193.8500,193.8650,1079
2023-06-30 18:50:00,193.8700,193.8700,193.8600,193.8600,2194
2023-06-30 18:49:00,193.8600,193.8700,193.8500,193.8650,1242
2023-06-30 18:48:00,193.8300,193.8700,193.8300,193.8700,1516
2023-06-30 18:47:00,193.8300,193.8500,193.8300,193.8400,76
2023-06-30 18:46:00,193.8300,193.8500,193.8300,193.8500,408
2023-06-30 18:45:00,193.8500,193.8500,193.8100,193.8300,97
2023-06-30 18:44:00,193.8600,193.8600,193.8100,193.8300,1166
2023-06-30 18:43:00,193.8350,193.8600,193.8100,193.8500,54
2023-06-30 18:42:00,193.8550,193.8700,193.8100,193.8500,5427
2023-06-30 18:41:00,193.8700,193.8700,193.8500,193.8550,134
2023-06-30 18:40:00,193.8600,193.8900,193.8500,193.8700,678
2023-06-30 18:39:00,193.8700,193.8800,193.8600,193.8700,912
2023-06-30 18:38:00,193.8600,193.8700,193.8600,193.8600,445
2023-06-30 18:37:00,193.8700,193.8700,193.8600,193.8650,169
2023-06-30 18:36:00,193.8700,193.8700,193.8600,193.8650,19
2023-06-30 18:35:00,193.8700,193.8700,193.8600,193.8700,11
2023-06-30 18:34:00,193.8550,193.8700,193.8550,193.8600,583
2023-06-30 18:33:00,193.8600,193.8700,193.8500,193.8550,1025
2023-06-30 18:32:00,193.8500,193.8600,193.8500,193.8600,2036
2023-06-30 18:31:00,193.8550,193.8600,193.8500,193.8550,230
2023-06-30 18:30:00,193.8600,193.8700,193.8500,193.8500,529
2023-06-30 18:29:00,193.8600,193.8700,193.8500,193.8600,1299
2023-06-30 18:28:00,193.8600,193.8700,193.8500,193.8550,1217
2023-06-30 18:27:00,193.8500,193.8600,193.8500,193.8550,66
2023-06-30 18:26:00,193.8700,193.8700,193.8500,193.8600,223
2023-06-30 18:25:00,193.8600,193.8700,193.8500,193.8700,139
2023-06-30 18:24:00,193.8600,193.8700,193.8500,193.8600,85
2023-06-30 18:23:00,193.8500,193.8700,193.8500,193.8700,830
2023-06-30 18:22:00,193.8450,193.8600,193.8400,193.8600,367
2023-06-30 18:21:00,193.8600,193.8600,193.8400,193.8450,122
2023-06-30 18:20:00,193.8350,193.8600,193.8300,193.8450,614
2023-06-30 18:19:00,193.8450,193.8500,193.8300,193.8400,1613
2023-06-30 18:18:00,193.8500,193.8700,193.8450,193.8500,470
2023-06-30 18:17:00,193.8660,193.8700,193.8500,193.8600,389
2023-06-30 18:16:00,193.8600,193.9700,193.8500,193.8700,30179
2023-06-30 18:15:00,193.8500,193.8700,193.8500,193.8500,1050
2023-06-30 18:14:00,193.8700,193.8700,193.8500,193.8500,748
2023-06-30 18:13:00,193.8700,193.8700,193.8500,193.8650,660
2023-06-30 18:12:00,193.8500,193.8700,193.8500,193.8600,1621
2023-06-30 18:11:00,193.8500,193.8700,193.8500,193.8600,1792
2023-06-30 18:10:00,193.8700,193.8800,193.8500,193.8800,2327
2023-06-30 18:09:00,193.8800,193.9000,193.8600,193.8600,346
2023-06-30 18:08:00,193.9000,193.9000,193.8600,193.8700,796
2023-06-30 18:07:00,193.8800,193.8850,193.8600,193.8850,1244
2023-06-30 18:06:00,193.8800,193.8800,193.8700,193.8750,529
2023-06-30 18:05:00,193.8750,193.8900,193.8700,193.8800,200
2023-06-30 18:04:00,193.8900,193.9000,193.8600,193.8900,3214
2023-06-30 18:03:00,193.8800,193.9000,193.8800,193.8900,326
2023-06-30 18:02:00,193.9000,193.9000,193.8800,193.8900,61
2023-06-30 18:01:00,193.8900,193.9000,193.8800,193.8950,101
2023-06-30 18:00:00,193.8850,193.9000,193.8800,193.8800,94
2023-06-30 17:59:00,193.9000,193.9000,193.8700,193.8700,113
2023-06-30 17:58:00,193.8750,193.9000,193.8600,193.8700,513
2023-06-30 17:57:00,193.8800,193.8900,193.8300,193.8650,1635
2023-06-30 17:56:00,193.8600,193.9000,193.8300,193.8800,1252
2023-06-30 17:55:00,193.8300,193.8700,193.8300,193.8600,462
2023-06-30 17:54:00,193.8300,193.8700,193.8200,193.8600,225
2023-06-30 17:53:00,193.8300,193.8700,193.8300,193.8400,184
2023-06-30 17:52:00,193.8650,193.8800,193.8200,193.8300,801
2023-06-30 17:51:00,193.8800,193.9000,193.8300,193.8900,1679
2023-06-30 17:50:00,193.8950,193.9200,193.8700,193.9000,502
2023-06-30 17:49:00,193.9090,193.9200,193.8700,193.9200,130
2023-06-30 17:48:00,193.8800,193.9200,193.8700,193.9200,162
2023-06-30 17:47:00,193.9000,193.9200,193.8800,193.8800,306
2023-06-30 17:46:00,193.9100,193.9200,193.8700,193.9100,2794
2023-06-30 17:45:00,193.9100,193.9200,193.8500,193.8830,5003
2023-06-30 17:44:00,193.8200,193.9100,193.8100,193.8850,4199
2023-06-30 17:43:00,193.9150,193.9150,193.8100,193.8300,8777
2023-06-30 17:42:00,193.9000,193.9300,193.8800,193.9300,1436
2023-06-30 17:41:00,193.9400,193.9400,193.9000,193.9200,1875
2023-06-30 17:40:00,193.9200,193.9400,193.9000,193.9200,1877
2023-06-30 17:39:00,193.8900,193.9500,193.8800,193.9000,6666
2023-06-30 17:38:00,193.8900,193.8900,193.8800,193.8800,876
2023-06-30 17:37:00,193.8700,193.8900,193.8500,193.8800,1041
2023-06-30 17:36:00,193.8400,193.8900,193.8300,193.8500,1692
2023-06-30 17:35:00,193.8330,193.8500,193.8200,193.8500,1135
2023-06-30 17:34:00,193.8300,193.8700,193.8300,193.8300,1199
2023-06-30 17:33:00,193.8500,193.8800,193.8200,193.8490,1506
2023-06-30 17:32:00,193.8300,193.8800,193.8200,193.8500,642
2023-06-30 17:31:00,193.8500,193.9100,193.8200,193.9000,2100
2023-06-30 17:30:00,193.8800,193.9200,193.8600,193.8600,1078
2023-06-30 17:29:00,193.8800,193.9000,193.8500,193.8900,475
2023-06-30 17:28:00,193.8500,193.9700,193.8500,193.9000,80915
2023-06-30 17:27:00,193.8700,193.9100,193.8300,193.8750,1102
2023-06-30 17:26:00,193.8600,193.9200,193.8600,193.8850,73
2023-06-30 17:25:00,193.9000,193.9200,193.8600,193.8850,461
2023-06-30 17:24:00,193.8800,193.9200,193.8700,193.8700,661
2023-06-30 17:23:00,193.8400,193.9200,193.8400,193.8800,2050
2023-06-30 17:22:00,193.8300,193.8500,193.8300,193.8480,38
