,open,high,low,close,volume
2023-06-30 19:59:00,286.9000,286.9200,286.7000,286.8000,211
2023-06-30 19:58:00,286.8300,286.9000,286.7600,286.9000,302
2023-06-30 19:57:00,286.8200,286.8800,286.8000,286.8500,164
2023-06-30 19:56:00,286.9000,286.9000,286.8200,286.8800,65
2023-06-30 19:55:00,286.8000,286.8500,286.8000,286.8500,36
2023-06-30 19:54:00,286.8200,286.8800,286.8000,286.8000,111
2023-06-30 19:53:00,286.8000,286.8000,286.8000,286.8000,25
2023-06-30 19:52:00,286.8000,286.8000,286.7600,286.8000,703
2023-06-30 19:51:00,286.7600,286.8800,286.7600,286.8800,38
2023-06-30 19:50:00,286.7600,286.8800,286.7600,286.7800,23
2023-06-30 19:49:00,286.7600,286.8800,286.7600,286.8200,116
2023-06-30 19:48:00,286.8800,286.8800,286.8200,286.8200,75
2023-06-30 19:47:00,286.8800,286.8800,286.8300,286.8800,149
2023-06-30 19:46:00,286.8200,286.8200,286.8200,286.8200,1
2023-06-30 19:45:00,286.8800,286.8800,286.8800,286.8800,52
2023-06-30 19:44:00,286.7600,286.8800,286.7600,286.8800,83
2023-06-30 19:43:00,286.8150,286.8150,286.7500,286.7500,5
2023-06-30 19:42:00,286.8900,286.8900,286.8250,286.8500,70
2023-06-30 19:41:00,286.7500,286.7500,286.7500,286.7500,1
2023-06-30 19:40:00,286.8500,286.8900,286.8500,286.8900,7
2023-06-30 19:39:00,286.9000,286.9000,286.9000,286.9000,58
2023-06-30 19:38:00,286.9000,286.9000,286.9000,286.9000,156
2023-06-30 19:37:00,286.9000,286.9000,286.9000,286.9000,12
2023-06-30 19:36:00,286.9000,286.9000,286.8300,286.8300,12
2023-06-30 19:35:00,286.8500,286.9000,286.8300,286.9000,16
2023-06-30 19:34:00,286.8000,286.8500,286.8000,286.8500,374
2023-06-30 19:33:00,286.8000,286.8000,286.7800,286.8000,23
2023-06-30 19:32:00,286.8500,286.8500,286.7800,286.8000,32
2023-06-30 19:31:00,286.8500,286.8500,286.8000,286.8000,33
2023-06-30 19:30:00,286.7950,286.8500,286.7500,286.8500,1265
2023-06-30 19:29:00,286.8050,286.8400,286.7700,286.7800,449
2023-06-30 19:28:00,286.8500,286.8500,286.8500,286.8500,1
2023-06-30 19:27:00,286.7800,286.8000,286.7500,286.7800,88
2023-06-30 19:26:00,286.7500,286.7500,286.7000,286.7000,5
2023-06-30 19:24:00,286.7800,286.8400,286.7500,286.7500,21
2023-06-30 19:23:00,286.7000,286.7500,286.7000,286.7000,13
2023-06-30 19:22:00,286.7500,286.7500,286.7500,286.7500,3
2023-06-30 19:21:00,286.7800,286.7800,286.7800,286.7800,5
2023-06-30 19:20:00,286.7850,286.7850,286.7200,286.7500,59
