,open,high,low,close,volume
2023-06-30 19:59:00,43.0600,43.0600,43.0600,43.0600,505
2023-06-30 19:54:00,43.0500,43.0500,43.0500,43.0500,9
2023-06-30 19:52:00,43.0700,43.0700,43.0700,43.0700,625
2023-06-30 19:51:00,43.0500,43.0800,43.0500,43.0800,5
2023-06-30 19:49:00,43.0500,43.0500,43.0500,43.0500,25
2023-06-30 19:48:00,43.0800,43.0800,43.0800,43.0800,100
2023-06-30 19:47:00,43.0400,43.0800,43.0400,43.0800,905
2023-06-30 19:42:00,43.0800,43.0800,43.0800,43.0800,1
2023-06-30 19:40:00,43.0500,43.0500,43.0500,43.0500,1
2023-06-30 19:39:00,43.0700,43.0700,43.0700,43.0700,40
2023-06-30 19:37:00,43.0800,43.0800,43.0800,43.0800,1
2023-06-30 19:34:00,43.0600,43.0800,43.0600,43.0800,34
2023-06-30 19:29:00,43.1000,43.1000,43.0600,43.0800,18
2023-06-30 19:25:00,43.0800,43.1000,43.0800,43.1000,266
2023-06-30 19:22:00,43.0600,43.1000,43.0600,43.1000,11
2023-06-30 19:20:00,43.0900,43.0900,43.0900,43.0900,2
2023-06-30 19:16:00,43.0900,43.0900,43.0900,43.0900,4
2023-06-30 19:12:00,43.0600,43.0600,43.0600,43.0600,2
2023-06-30 19:11:00,43.0610,43.0610,43.0610,43.0610,1
2023-06-30 19:10:00,43.1000,43.1000,43.1000,43.1000,10
2023-06-30 19:07:00,43.1000,43.1000,43.0700,43.0900,84
2023-06-30 19:06:00,43.0700,43.0700,43.0700,43.0700,1
2023-06-30 19:00:00,43.1700,43.1700,43.1700,43.1700,2035185
2023-06-30 18:59:00,43.0500,43.0500,43.0500,43.0500,53
2023-06-30 18:58:00,43.0500,43.0500,43.0500,43.0500,149
2023-06-30 18:57:00,43.0800,43.0800,43.0800,43.0800,100
2023-06-30 18:54:00,43.0800,43.0800,43.0800,43.0800,1
2023-06-30 18:50:00,43.1000,43.1000,43.1000,43.1000,1
2023-06-30 18:49:00,43.0500,43.0500,43.0500,43.0500,100
2023-06-30 18:48:00,43.0500,43.0500,43.0500,43.0500,50
2023-06-30 18:47:00,43.0500,43.0500,43.0500,43.0500,152
2023-06-30 18:45:00,43.0900,43.0900,43.0900,43.0900,25
2023-06-30 18:44:00,43.1000,43.1000,43.1000,43.1000,250
2023-06-30 18:40:00,43.0500,43.1000,43.0500,43.1000,405
2023-06-30 18:38:00,43.0500,43.0500,43.0500,43.0500,3
2023-06-30 18:37:00,43.0900,43.0900,43.0900,43.0900,10
2023-06-30 18:36:00,43.0990,43.1000,43.0990,43.1000,7
2023-06-30 18:33:00,43.0500,43.0500,43.0500,43.0500,17
2023-06-30 18:31:00,43.0500,43.0500,43.0500,43.0500,1
2023-06-30 18:30:00,43.1700,43.1700,43.0500,43.0500,2035195
2023-06-30 18:29:00,43.0500,43.0900,43.0500,43.0900,3
2023-06-30 18:28:00,43.1000,43.1000,43.1000,43.1000,1
2023-06-30 18:27:00,43.1000,43.1000,43.0500,43.0500,13
2023-06-30 18:23:00,43.0500,43.0500,43.0500,43.0500,1
2023-06-30 18:21:00,43.0500,43.0500,43.0500,43.0500,10
2023-06-30 18:19:00,43.0900,43.0900,43.0500,43.0500,15
2023-06-30 18:17:00,43.1000,43.1000,43.0500,43.0500,348
2023-06-30 18:16:00,43.1700,43.1700,43.1700,43.1700,3887
2023-06-30 18:14:00,43.0900,43.0900,43.0900,43.0900,20
2023-06-30 18:12:00,43.0900,43.0900,43.0900,43.0900,120
2023-06-30 18:11:00,43.0500,43.0500,43.0500,43.0500,2
2023-06-30 18:10:00,43.0300,43.0300,43.0300,43.0300,1
2023-06-30 18:09:00,43.0300,43.0300,43.0300,43.0300,500
2023-06-30 18:07:00,43.1000,43.1000,43.1000,43.1000,1
2023-06-30 18:06:00,43.0300,43.0300,43.0300,43.0300,123
2023-06-30 18:05:00,43.0300,43.0300,43.0300,43.0300,3
2023-06-30 18:03:00,43.0300,43.1800,43.0300,43.1800,54
2023-06-30 18:01:00,43.0500,43.0500,43.0300,43.0300,100
2023-06-30 17:59:00,43.0500,43.0500,43.0500,43.0500,1
2023-06-30 17:58:00,43.0600,43.0600,43.0000,43.0000,5
2023-06-30 17:57:00,43.0600,43.0600,43.0600,43.0600,2
2023-06-30 17:55:00,43.0600,43.0600,43.0600,43.0600,20
2023-06-30 17:54:00,43.0600,43.0600,43.0600,43.0600,895
2023-06-30 17:53:00,43.0600,43.0600,43.0500,43.0600,357
2023-06-30 17:52:00,43.1700,43.1700,43.0500,43.0500,162477
2023-06-30 17:51:00,43.0600,43.0600,43.0500,43.0500,1005
2023-06-30 17:49:00,43.0600,43.0600,43.0500,43.0500,512
2023-06-30 17:47:00,43.0600,43.0600,43.0600,43.0600,37
2023-06-30 17:46:00,43.0600,43.0600,43.0510,43.0510,101
2023-06-30 17:45:00,43.0500,43.0500,43.0500,43.0500,20
2023-06-30 17:44:00,43.0600,43.0600,43.0600,43.0600,49
2023-06-30 17:43:00,43.0600,43.0600,43.0500,43.0500,204
2023-06-30 17:42:00,43.0600,43.0600,43.0600,43.0600,507
2023-06-30 17:37:00,43.0600,43.0600,43.0600,43.0600,500
2023-06-30 17:36:00,43.0600,43.0600,43.0600,43.0600,11
2023-06-30 17:35:00,43.0600,43.0600,43.0600,43.0600,100
2023-06-30 17:34:00,43.0500,43.0500,43.0500,43.0500,20
2023-06-30 17:33:00,43.0600,43.0600,43.0600,43.0600,100
2023-06-30 17:32:00,43.0900,43.0900,43.0900,43.0900,25
2023-06-30 17:30:00,43.0900,43.0900,43.0500,43.0500,33
2023-06-30 17:28:00,43.0600,43.0600,43.0600,43.0600,13
2023-06-30 17:27:00,43.0500,43.1000,43.0500,43.1000,5
2023-06-30 17:26:00,43.0500,43.0500,43.0500,43.0500,25
2023-06-30 17:24:00,43.1000,43.1000,43.1000,43.1000,3
2023-06-30 17:23:00,43.1000,43.1000,43.0500,43.0500,2
2023-06-30 17:22:00,43.0500,43.1000,43.0500,43.1000,14
2023-06-30 17:20:00,43.0500,43.1000,43.0500,43.1000,101
2023-06-30 17:19:00,43.1000,43.1000,43.0900,43.0900,166
2023-06-30 17:17:00,43.1000,43.1000,43.1000,43.1000,66
2023-06-30 17:16:00,43.1000,43.1000,43.1000,43.1000,13
2023-06-30 17:15:00,43.1000,43.1000,43.1000,43.1000,10
2023-06-30 17:13:00,43.1000,43.1000,43.1000,43.1000,255
2023-06-30 17:11:00,43.1000,43.1000,43.0900,43.1000,16
2023-06-30 17:10:00,43.1000,43.1000,43.1000,43.1000,70
2023-06-30 17:08:00,43.1000,43.1000,43.1000,43.1000,15
2023-06-30 17:07:00,43.0900,43.1000,43.0900,43.1000,78
2023-06-30 17:06:00,43.1000,43.1000,43.1000,43.1000,101
2023-06-30 17:04:00,43.1200,43.1200,43.1200,43.1200,314
2023-06-30 17:03:00,43.1000,43.1000,43.1000,43.1000,187
2023-06-30 17:02:00,44.7140,44.7140,43.1000,43.1000,693
2023-06-30 17:00:00,43.1000,43.1000,43.1000,43.1000,53
2023-06-30 16:59:00,44.2180,44.2180,43.1000,43.1000,3232
2023-06-30 16:58:00,43.1200,43.1200,42.1880,42.1880,1610
2023-06-30 16:57:00,43.1100,43.1100,43.1100,43.1100,20
2023-06-30 16:56:00,43.1200,43.1200,43.1200,43.1200,1
2023-06-30 16:55:00,43.1000,43.1000,43.1000,43.1000,19
2023-06-30 16:54:00,43.1000,43.1000,43.1000,43.1000,200
2023-06-30 16:53:00,43.1000,43.1000,43.1000,43.1000,21
2023-06-30 16:52:00,43.1200,43.1200,43.1000,43.1000,2371
2023-06-30 16:51:00,43.1200,43.1200,43.1100,43.1100,1151
2023-06-30 16:49:00,43.0000,43.1700,43.0000,43.1000,129712
2023-06-30 16:48:00,43.1400,43.1400,43.1400,43.1400,2
2023-06-30 16:47:00,43.1200,43.1400,43.1200,43.1400,125
2023-06-30 16:46:00,43.1200,43.1200,43.1200,43.1200,105
2023-06-30 16:45:00,43.1600,43.1600,43.1600,43.1600,35
2023-06-30 16:44:00,43.1600,43.1600,43.1600,43.1600,50
2023-06-30 16:40:00,43.1300,43.1300,43.1300,43.1300,2
2023-06-30 16:39:00,43.1300,43.1300,43.1300,43.1300,48
2023-06-30 16:38:00,43.1300,43.1300,43.1300,43.1300,10
2023-06-30 16:37:00,43.1600,43.1600,43.1600,43.1600,10
