,open,high,low,close,volume
2023-06-30 19:53:00,488.4100,488.4100,488.4100,488.4100,300
2023-06-30 19:52:00,488.4000,488.4000,488.4000,488.4000,15
2023-06-30 19:51:00,488.6000,488.8100,488.6000,488.8100,101
2023-06-30 19:45:00,488.3000,488.3000,488.3000,488.3000,22
2023-06-30 19:33:00,488.3000,488.3000,488.3000,488.3000,1
2023-06-30 19:32:00,488.2100,488.3000,488.2100,488.3000,6
2023-06-30 19:26:00,488.2100,488.2100,488.2100,488.2100,4
2023-06-30 19:20:00,488.4500,488.6000,488.4500,488.6000,8
2023-06-30 19:16:00,488.1100,488.1100,488.1100,488.1100,4
2023-06-30 19:15:00,488.4500,488.4500,488.4500,488.4500,8
2023-06-30 19:13:00,488.4500,488.4500,488.4500,488.4500,1
2023-06-30 19:10:00,488.3900,488.6000,488.3900,488.6000,149
2023-06-30 19:07:00,488.2000,488.2000,488.2000,488.2000,30
2023-06-30 19:06:00,488.1300,488.1300,488.1300,488.1300,1
2023-06-30 19:02:00,488.1400,488.1400,488.1400,488.1400,1
2023-06-30 19:01:00,488.6900,488.6900,488.6900,488.6900,11
2023-06-30 18:58:00,488.4000,488.4000,488.4000,488.4000,1
2023-06-30 18:57:00,488.3900,488.3900,488.3900,488.3900,1
2023-06-30 18:49:00,488.1100,488.1100,488.1100,488.1100,4
2023-06-30 18:46:00,488.4000,488.4000,488.4000,488.4000,3
2023-06-30 18:39:00,488.4000,488.4000,488.4000,488.4000,1
2023-06-30 18:32:00,488.1100,488.1100,488.1100,488.1100,6
2023-06-30 18:26:00,488.1100,488.1100,488.1100,488.1100,4
2023-06-30 18:19:00,488.1100,488.1100,488.1100,488.1100,5
2023-06-30 18:16:00,488.1100,488.9900,488.1100,488.9900,929
2023-06-30 18:07:00,487.8100,487.8100,487.8100,487.8100,26
2023-06-30 18:04:00,488.1100,488.1100,488.1100,488.1100,49
2023-06-30 18:02:00,488.0100,488.0100,487.8900,487.8900,90
2023-06-30 18:01:00,488.0100,488.0100,488.0100,488.0100,6
2023-06-30 17:59:00,488.1500,488.1500,488.1100,488.1100,36
2023-06-30 17:56:00,488.1100,488.1100,488.1100,488.1100,1
2023-06-30 17:55:00,488.1100,488.1100,488.1100,488.1100,2
2023-06-30 17:54:00,488.1100,488.1100,488.1100,488.1100,1
2023-06-30 17:53:00,488.1100,488.1100,487.8500,487.8500,5
2023-06-30 17:52:00,488.9900,488.9900,488.9900,488.9900,19779
2023-06-30 17:51:00,488.1100,488.1100,487.8500,487.8500,4
2023-06-30 17:47:00,488.5500,488.5500,488.5500,488.5500,7
2023-06-30 17:46:00,487.8500,487.8500,487.8500,487.8500,4
