,open,high,low,close,volume
2023-06-30 19:59:00,130.1200,130.1200,130.1000,130.1100,352
2023-06-30 19:58:00,130.1300,130.1400,130.1200,130.1200,1308
2023-06-30 19:57:00,130.1350,130.1400,130.1200,130.1300,206
2023-06-30 19:56:00,130.1300,130.1400,130.1200,130.1400,488
2023-06-30 19:55:00,130.1300,130.1400,130.1300,130.1350,205
2023-06-30 19:54:00,130.1400,130.1400,130.1200,130.1300,375
2023-06-30 19:53:00,130.1200,130.1400,130.1200,130.1400,34
2023-06-30 19:52:00,130.1300,130.1400,130.1300,130.1300,536
2023-06-30 19:51:00,130.1300,130.1400,130.1300,130.1350,105
2023-06-30 19:50:00,130.1000,130.1300,130.1000,130.1300,373
2023-06-30 19:49:00,130.1400,130.1400,130.1000,130.1400,623
2023-06-30 19:48:00,130.1000,130.1200,130.1000,130.1200,4
2023-06-30 19:47:00,130.1200,130.1400,130.1100,130.1100,133
2023-06-30 19:46:00,130.1400,130.1400,130.1000,130.1200,8
2023-06-30 19:45:00,130.1200,130.1400,130.1000,130.1400,86
2023-06-30 19:44:00,130.1200,130.1300,130.1000,130.1200,122
2023-06-30 19:43:00,130.1200,130.1400,130.1000,130.1200,122
2023-06-30 19:42:00,130.1000,130.1400,130.1000,130.1400,150
2023-06-30 19:41:00,130.1000,130.1000,130.1000,130.1000,9
2023-06-30 19:40:00,130.1400,130.1400,130.0850,130.1000,10
2023-06-30 19:39:00,130.1400,130.1400,130.0200,130.1400,126
2023-06-30 19:38:00,130.1400,130.1400,130.1000,130.1000,80
2023-06-30 19:37:00,130.1300,130.1400,130.1150,130.1200,28
2023-06-30 19:36:00,130.1400,130.1400,130.1100,130.1200,8
2023-06-30 19:35:00,130.1400,130.1400,130.1000,130.1000,89
2023-06-30 19:34:00,130.1400,130.1400,130.0900,130.1300,115
2023-06-30 19:33:00,130.1400,130.1400,130.0750,130.1100,503
2023-06-30 19:32:00,130.1200,130.1400,130.1000,130.1200,230
2023-06-30 19:31:00,130.1200,130.1400,130.1000,130.1200,36
2023-06-30 19:30:00,130.1200,130.1400,130.1000,130.1400,223
2023-06-30 19:29:00,130.1200,130.1400,130.1000,130.1000,56
2023-06-30 19:28:00,130.1000,130.1400,130.1000,130.1000,45
2023-06-30 19:27:00,130.1200,130.1400,130.1000,130.1400,56
2023-06-30 19:26:00,130.1000,130.1200,130.1000,130.1200,89
2023-06-30 19:25:00,130.1000,130.1200,130.1000,130.1000,153
2023-06-30 19:24:00,130.1000,130.1200,130.1000,130.1000,192
2023-06-30 19:23:00,130.1200,130.1200,130.1000,130.1100,10
2023-06-30 19:22:00,130.1200,130.1400,130.1200,130.1400,4
2023-06-30 19:21:00,130.1400,130.1400,130.1000,130.1000,213
2023-06-30 19:20:00,130.1300,130.1400,130.1000,130.1000,148
2023-06-30 19:19:00,130.0800,130.1400,130.0800,130.1400,1138
2023-06-30 19:18:00,130.0900,130.1000,130.0200,130.0800,135
2023-06-30 19:17:00,130.0200,130.0700,130.0000,130.0000,2600
2023-06-30 19:16:00,130.0000,130.0600,130.0000,130.0300,229
2023-06-30 19:15:00,129.9900,130.0100,129.9800,130.0100,1899
2023-06-30 19:14:00,129.9900,130.0000,129.9800,130.0000,26
2023-06-30 19:13:00,129.9900,129.9900,129.9800,129.9800,58
2023-06-30 19:12:00,129.9700,129.9900,129.9700,129.9900,11
2023-06-30 19:11:00,129.9900,130.0000,129.9800,129.9850,109
2023-06-30 19:10:00,129.9900,129.9900,129.9700,129.9700,15
2023-06-30 19:09:00,129.9800,129.9900,129.9700,129.9700,390
2023-06-30 19:08:00,129.9800,129.9900,129.9800,129.9900,309
2023-06-30 19:07:00,129.9900,129.9900,129.9800,129.9900,208
2023-06-30 19:06:00,129.9900,129.9900,129.9800,129.9800,155
2023-06-30 19:05:00,129.9850,129.9850,129.9800,129.9800,68
